,trial,key,condition,freq_category,accuracy,start_time,end_time,reaction_time
167,bezans_sound,m,nw,none,C,263.5275495669921,264.617334687995,1.089785121002933
168,gevupt_sound,m,nw,none,C,265.14974834599707,266.4492830419913,1.2995346959942253
169,zeg_sound,z,rw,HF,C,266.9890128239931,268.0813302059978,1.092317382004694
170,imams_sound,m,rw,LF,N,268.61097055100254,269.68935038198833,1.0783798309857957
171,porde_sound,z,rw,LF,C,270.2323311359942,271.48134199899505,1.2490108630008763
172,sikkels_sound,m,rw,LF,N,272.021830822996,272.98527400099556,0.9634431779995793
173,zerder_sound,m,nw,none,C,273.5266022079886,274.3933087639889,0.8667065560002811
174,gesmalpt_sound,m,nw,none,C,274.93149837700184,276.16127539699664,1.229777019994799
175,zelijk_sound,m,nw,none,C,276.704205424001,277.7054224119929,1.0012169879919384
176,strotten_sound,m,rw,LF,N,278.2417251029983,279.01725522500055,0.7755301220022375
177,kwarp_sound,m,nw,none,C,279.5464831569989,280.81730310698913,1.2708199499902548
178,soort_sound,z,rw,HF,C,281.3523642139917,282.3934413949901,1.0410771809983999
179,oker_sound,m,rw,LF,N,282.9247437039885,283.80148804798955,0.8767443440010538
180,margriet_sound,z,rw,LF,C,284.3454403479991,285.4254168530024,1.0799765050032875
181,karpers_sound,z,rw,LF,C,285.9679770629882,286.92138644799707,0.9534093850088539
182,kiemeten_sound,m,nw,none,C,287.4556745229929,288.6253212719894,1.1696467489964562
183,hormen_sound,m,nw,none,C,289.1612459859898,289.8493131639989,0.6880671780090779
184,gaf_sound,m,rw,HF,N,290.38183928899525,291.2332418689912,0.85140257999592
185,gefruld_sound,m,nw,none,C,291.7699160149932,292.9854134329944,1.2154974180011777
186,rastel_sound,m,nw,none,C,293.5248993939895,294.40139867599646,0.8764992820069892
187,vroeg_sound,z,rw,HF,C,294.94691504799994,295.91336190799484,0.9664468599949032
188,trorg_sound,m,nw,none,C,296.4518331649888,297.14531934999104,0.6934861850022571
189,grantel_sound,m,nw,none,C,297.6884500879969,298.42529912099417,0.7368490329972701
190,darboen_sound,m,nw,none,C,298.95948460898944,299.70526805998816,0.7457834509987151
191,plond_sound,z,nw,none,N,300.24728153899196,301.2094266419881,0.9621451029961463
192,moeder_sound,z,rw,HF,C,301.75280046199623,302.5453063999885,0.7925059379922459
193,dacht_sound,z,rw,HF,C,303.0987152559974,303.7934323829977,0.694717127000331
194,rieve_sound,z,nw,none,N,304.3272818580008,305.337425730002,1.0101438720012084
195,monen_sound,m,nw,none,C,305.881664044995,306.70534490699356,0.8236808619985823
196,krijg_sound,z,rw,HF,C,307.25395240599755,307.99355951999314,0.7396071139955893
197,gals_sound,z,nw,none,N,308.5407167599915,309.1853219249897,0.644605164998211
198,kimensie_sound,z,nw,none,N,309.7277717709949,310.5374210019945,0.8096492309996393
199,lekker_sound,z,rw,HF,C,311.08192788698943,311.80951137898955,0.7275834920001216
